m,n,func,seed,ins_ms,coll_tbl,coll_lst,find_ms_hits,find_ms_misses,cmp_hits,cmp_misses,checksum
1009,1000,H_DIV,137,2,385,0,0,2,1,0,5215
1009,1000,H_MUL,137,0,365,0,0,0,1,0,3736
1009,1000,H_FOLD,137,0,374,0,0,0,1,0,5715
1009,1000,H_DIV,271828,0,363,0,0,0,1,0,4066
1009,1000,H_MUL,271828,0,375,0,0,0,1,0,3653
1009,1000,H_FOLD,271828,0,358,0,0,0,1,0,4252
1009,1000,H_DIV,314159,0,380,0,0,0,1,0,6480
1009,1000,H_MUL,314159,0,371,0,0,0,1,0,5062
1009,1000,H_FOLD,314159,0,376,0,0,0,1,0,5083
1009,10000,H_DIV,137,0,8991,4,0,0,5,9,5215
1009,10000,H_MUL,137,0,8991,4,0,0,5,9,3736
1009,10000,H_FOLD,137,0,8991,4,0,0,5,9,5715
1009,10000,H_DIV,271828,0,8991,4,0,0,5,9,4066
1009,10000,H_MUL,271828,0,8991,4,0,0,5,9,3653
1009,10000,H_FOLD,271828,0,8992,4,0,0,5,9,4252
1009,10000,H_DIV,314159,0,8992,4,0,0,5,9,6480
1009,10000,H_MUL,314159,0,8991,4,0,0,6,9,5062
1009,10000,H_FOLD,314159,0,8991,4,0,0,5,9,5083
1009,100000,H_DIV,137,109,98991,48,0,0,50,98,5215
1009,100000,H_MUL,137,66,98991,48,0,0,50,98,3736
1009,100000,H_FOLD,137,78,98991,48,0,0,50,98,5715
1009,100000,H_DIV,271828,77,98991,48,0,0,50,99,4066
1009,100000,H_MUL,271828,63,98991,48,0,0,50,98,3653
1009,100000,H_FOLD,271828,71,98991,48,0,0,50,98,4252
1009,100000,H_DIV,314159,68,98991,48,0,0,50,98,6480
1009,100000,H_MUL,314159,66,98991,48,0,0,50,98,5062
1009,100000,H_FOLD,314159,66,98991,48,0,0,50,98,5083
10007,1000,H_DIV,137,0,48,0,0,0,1,0,60291
10007,1000,H_MUL,137,0,48,0,0,0,1,0,37092
10007,1000,H_FOLD,137,0,237,0,0,0,1,0,14796
10007,1000,H_DIV,271828,0,37,0,0,0,1,0,49950
10007,1000,H_MUL,271828,0,44,0,0,0,1,0,36273
10007,1000,H_FOLD,271828,0,215,0,0,0,1,0,17369
10007,1000,H_DIV,314159,0,42,0,0,0,1,0,66192
10007,1000,H_MUL,314159,0,53,0,0,0,1,0,50260
10007,1000,H_FOLD,314159,0,229,0,0,0,1,0,15173
10007,10000,H_DIV,137,0,3683,0,0,0,1,0,60291
10007,10000,H_MUL,137,0,3645,0,0,0,1,0,37092
10007,10000,H_FOLD,137,0,7867,2,0,0,3,5,14796
10007,10000,H_DIV,271828,0,3700,0,0,0,1,0,49950
10007,10000,H_MUL,271828,0,3721,0,0,0,1,0,36273
10007,10000,H_FOLD,271828,0,7848,2,0,0,3,5,17369
10007,10000,H_DIV,314159,0,3661,0,0,0,1,0,66192
10007,10000,H_MUL,314159,0,3675,0,0,0,1,0,50260
10007,10000,H_FOLD,314159,0,7835,2,0,0,3,5,15173
10007,100000,H_DIV,137,5,89993,4,0,0,5,9,60291
10007,100000,H_MUL,137,5,89993,4,0,0,5,9,37092
10007,100000,H_FOLD,137,44,97330,27,0,0,28,55,14796
10007,100000,H_DIV,271828,5,89993,4,0,0,5,9,49950
10007,100000,H_MUL,271828,5,89993,4,0,0,5,9,36273
10007,100000,H_FOLD,271828,40,97330,27,0,0,28,56,17369
10007,100000,H_DIV,314159,5,89993,4,0,0,5,9,66192
10007,100000,H_MUL,314159,5,89995,4,0,0,5,9,50260
10007,100000,H_FOLD,314159,43,97335,27,0,0,28,56,15173
100003,1000,H_DIV,137,0,4,0,0,0,1,0,432457
100003,1000,H_MUL,137,0,6,0,0,0,1,0,370723
100003,1000,H_FOLD,137,0,237,0,0,0,1,0,14796
100003,1000,H_DIV,271828,0,9,0,0,0,1,0,617612
100003,1000,H_MUL,271828,0,3,0,0,0,1,0,362548
100003,1000,H_FOLD,271828,0,215,0,0,0,1,0,17369
100003,1000,H_DIV,314159,0,5,0,0,0,1,0,579979
100003,1000,H_MUL,314159,0,7,0,0,0,1,0,502315
100003,1000,H_FOLD,314159,0,229,0,0,0,1,0,15173
100003,10000,H_DIV,137,0,475,0,0,0,1,0,432457
100003,10000,H_MUL,137,0,488,0,0,0,1,0,370723
100003,10000,H_FOLD,137,0,7867,2,0,0,3,5,14796
100003,10000,H_DIV,271828,0,476,0,0,0,1,0,617612
100003,10000,H_MUL,271828,0,464,0,0,0,1,0,362548
100003,10000,H_FOLD,271828,0,7848,2,0,0,3,5,17369
100003,10000,H_DIV,314159,0,482,0,0,0,1,0,579979
100003,10000,H_MUL,314159,0,478,0,0,0,1,0,502315
100003,10000,H_FOLD,314159,0,7835,2,0,0,3,5,15173
100003,100000,H_DIV,137,1,36708,0,0,0,1,0,432457
100003,100000,H_MUL,137,1,36709,0,0,0,1,0,370723
100003,100000,H_FOLD,137,35,97330,27,0,0,28,55,14796
100003,100000,H_DIV,271828,1,36832,0,0,0,1,0,617612
100003,100000,H_MUL,271828,1,36820,0,0,0,1,0,362548
100003,100000,H_FOLD,271828,39,97330,27,0,0,28,56,17369
100003,100000,H_DIV,314159,1,36763,0,0,0,1,0,579979
100003,100000,H_MUL,314159,2,36765,0,0,0,1,0,502315
100003,100000,H_FOLD,314159,38,97335,27,0,0,28,56,15173
